sale_date,factory,lot_number,grade,clone_type,auction_price_usd,exchange_rate,rainfall_mm,temperature_c,made_tea_kg,bp1_share
1/7/2022,Tegat,TEG-68-2813,BP1,TRFK 6/8,3.16,114.88,183,19.1,1173,0.374
1/7/2022,Tegat,TEG-68-7456,PF1,TRFK 6/8,2.87,114.88,183,19.1,3179,0.419
1/7/2022,Tegat,TEG-68-5502,PD,TRFK 6/8,2.56,114.88,183,19.1,1975,0.447
1/7/2022,Tegat,TEG-68-4621,D1,TRFK 6/8,2.66,114.88,183,19.1,3286,0.436
1/7/2022,Tegat,TEG-303577-1829,BP1,TRFK 303/577,2.63,114.88,183,19.1,2508,0.346
1/7/2022,Tegat,TEG-303577-3490,PF1,TRFK 303/577,2.96,114.88,183,19.1,2731,0.374
1/7/2022,Tegat,TEG-303577-1611,PD,TRFK 303/577,2.46,114.88,183,19.1,3715,0.375
1/7/2022,Tegat,TEG-303577-7838,D1,TRFK 303/577,2.42,114.88,183,19.1,1464,0.399
1/7/2022,Tegat,TEG-318-5918,BP1,TRFK 31/8,2.84,114.88,183,19.1,1347,0.355
1/7/2022,Tegat,TEG-318-4299,PF1,TRFK 31/8,3.29,114.88,183,19.1,3705,0.322
1/7/2022,Tegat,TEG-318-1687,PD,TRFK 31/8,2.25,114.88,183,19.1,2261,0.38
1/7/2022,Tegat,TEG-318-7177,D1,TRFK 31/8,2.38,114.88,183,19.1,2279,0.311
1/7/2022,Tegat,TEG-1219-9461,BP1,TRFK 12/19,2.84,114.88,183,19.1,2167,0.319
1/7/2022,Tegat,TEG-1219-4916,PF1,TRFK 12/19,2.27,114.88,183,19.1,3233,0.304
1/7/2022,Tegat,TEG-1219-3155,PD,TRFK 12/19,2.47,114.88,183,19.1,2879,0.308
1/7/2022,Tegat,TEG-1219-8243,D1,TRFK 12/19,2.53,114.88,183,19.1,921,0.31
1/7/2022,Tegat,TEG-79-5243,BP1,TRFK 7/9,2.73,114.88,183,19.1,2944,0.269
1/7/2022,Tegat,TEG-79-5549,PF1,TRFK 7/9,2.21,114.88,183,19.1,2549,0.27
1/7/2022,Tegat,TEG-79-4956,PD,TRFK 7/9,2.84,114.88,183,19.1,2838,0.314
1/7/2022,Tegat,TEG-79-1712,D1,TRFK 7/9,1.56,114.88,183,19.1,3118,0.286
1/7/2022,Litein,LIT-68-1815,BP1,TRFK 6/8,3.08,114.88,183,19.1,2521,0.448
1/7/2022,Litein,LIT-68-4127,PF1,TRFK 6/8,2.77,114.88,183,19.1,2166,0.45
1/7/2022,Litein,LIT-68-9932,PD,TRFK 6/8,2.7,114.88,183,19.1,3374,0.38
